,AssessorID,FLD_ZONE,ZONE_SUBTY
0,2024-005-026,X,AREA OF MINIMAL FLOOD HAZARD
1,2007-015-042,D,
2,2054-030-117,X,AREA OF MINIMAL FLOOD HAZARD
3,2054-028-033,X,AREA OF MINIMAL FLOOD HAZARD
4,2164-001-037,X,AREA OF MINIMAL FLOOD HAZARD
5,2212-028-021,X,AREA OF MINIMAL FLOOD HAZARD
6,2226-031-002,X,AREA OF MINIMAL FLOOD HAZARD
7,2265-014-014,X,AREA OF MINIMAL FLOOD HAZARD
8,2338-013-037,X,AREA OF MINIMAL FLOOD HAZARD
9,2425-001-054,X,AREA OF MINIMAL FLOOD HAZARD
10,2460-023-061,X,AREA OF MINIMAL FLOOD HAZARD
11,2571-006-025,X,AREA OF MINIMAL FLOOD HAZARD
12,2613-027-020,X,AREA OF MINIMAL FLOOD HAZARD
13,2637-018-020,X,AREA OF MINIMAL FLOOD HAZARD
14,2686-027-001,X,AREA OF MINIMAL FLOOD HAZARD
15,2701-040-014,D,
16,2784-003-073,X,AREA OF MINIMAL FLOOD HAZARD
17,2811-068-028,X,AREA OF MINIMAL FLOOD HAZARD
18,2826-039-032,X,AREA OF MINIMAL FLOOD HAZARD
19,2840-008-031,X,AREA OF MINIMAL FLOOD HAZARD
20,3009-005-037,X,AREA OF MINIMAL FLOOD HAZARD
21,3114-013-082,X,AREA OF MINIMAL FLOOD HAZARD
22,4025-020-008,X,AREA OF MINIMAL FLOOD HAZARD
23,4122-024-048,X,AREA OF MINIMAL FLOOD HAZARD
24,4149-005-039,X,AREA OF MINIMAL FLOOD HAZARD
25,4138-006-008,X,AREA OF MINIMAL FLOOD HAZARD
26,4236-029-007,X,AREA OF MINIMAL FLOOD HAZARD
27,4313-021-084,X,AREA OF MINIMAL FLOOD HAZARD
28,4363-017-006,X,AREA OF MINIMAL FLOOD HAZARD
29,4472-001-017,D,
30,4472-016-012,D,
31,5275-003-039,X,AREA OF MINIMAL FLOOD HAZARD
32,5322-011-075,X,AREA OF MINIMAL FLOOD HAZARD
33,5391-016-003,X,AREA OF MINIMAL FLOOD HAZARD
34,5548-013-027,X,AREA OF MINIMAL FLOOD HAZARD
35,5642-001-923,X,AREA OF MINIMAL FLOOD HAZARD
36,5661-019-001,X,AREA OF MINIMAL FLOOD HAZARD
37,5746-012-002,X,AREA OF MINIMAL FLOOD HAZARD
38,5773-002-055,D,
39,6106-010-114,X,AREA OF MINIMAL FLOOD HAZARD
40,6216-008-033,X,AREA OF MINIMAL FLOOD HAZARD
41,6254-028-028,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
42,6320-012-071,X,AREA OF MINIMAL FLOOD HAZARD
43,6377-003-026,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
44,7001-013-117,X,AREA OF MINIMAL FLOOD HAZARD
45,7016-002-051,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
46,7075-001-933,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
47,7149-018-016,X,AREA OF MINIMAL FLOOD HAZARD
48,7161-008-007,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
49,7165-002-037,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
50,7219-023-021,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
51,7207-024-034,X,AREA OF MINIMAL FLOOD HAZARD
52,7237-017-022,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
53,7319-003-109,X,AREA OF MINIMAL FLOOD HAZARD
54,7344-002-010,X,AREA OF MINIMAL FLOOD HAZARD
55,7352-001-021,X,AREA OF MINIMAL FLOOD HAZARD
56,7377-012-010,X,AREA OF MINIMAL FLOOD HAZARD
57,7557-030-013,X,AREA OF MINIMAL FLOOD HAZARD
58,8011-013-050,X,AREA OF MINIMAL FLOOD HAZARD
59,8073-009-028,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE
60,8217-021-025,X,AREA OF MINIMAL FLOOD HAZARD
61,8265-044-042,X,AREA OF MINIMAL FLOOD HAZARD
62,8318-022-022,X,AREA OF MINIMAL FLOOD HAZARD
63,8344-028-021,X,AREA OF MINIMAL FLOOD HAZARD
64,8375-001-018,X,AREA OF MINIMAL FLOOD HAZARD
65,8405-001-030,X,AREA OF MINIMAL FLOOD HAZARD
66,8435-016-009,X,AREA OF MINIMAL FLOOD HAZARD
67,8480-001-028,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
68,8472-039-019,X,AREA OF MINIMAL FLOOD HAZARD
69,8558-028-027,X,AREA OF MINIMAL FLOOD HAZARD
70,8585-026-039,X,AREA OF MINIMAL FLOOD HAZARD
71,8613-024-023,X,AREA OF MINIMAL FLOOD HAZARD
72,8628-004-032,X,AREA OF MINIMAL FLOOD HAZARD
73,8642-020-084,X,AREA OF MINIMAL FLOOD HAZARD
74,8709-106-010,D,
75,8763-006-020,X,AREA OF MINIMAL FLOOD HAZARD
